{'French': 'tellement', 'English': 'so much'}
{'French': 'partie', 'English': 'part'}
{'French': 'espère', 'English': 'hope'}
{'French': 'filles', 'English': 'girls'}
{'French': 'mari', 'English': 'husband'}
{'French': 'enfant', 'English': 'child'}
{'French': 'enfant', 'English': 'child'}
{'French': 'eux', 'English': 'them'}
{'French': 'pourrais', 'English': 'could'}
{'French': 'endroit', 'English': 'place'}
{'French': 'vieux', 'English': 'old'}
{'French': 'aura', 'English': 'will have'}
{'French': 'bébé', 'English': 'baby'}
{'French': 'enfant', 'English': 'child'}
{'French': 'dont', 'English': 'whose'}
{'French': 'affaire', 'English': 'case'}
{'French': 'longtemps', 'English': 'long time'}
{'French': 'police', 'English': 'police'}
{'French': 'aucun', 'English': 'no'}
{'French': 'parlé', 'English': 'speak'}
{'French': 'matin', 'English': 'morning'}
{'French': 'chercher', 'English': 'search'}
{'French': 'tellement', 'English': 'so much'}
{'French': 'mois', 'English': 'month'}
